Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
4,6:43,1,10,CIN 46,24,17,Ja'Marr Chase left end for no gain (tackle by Isaiah Oliver),1.99,1.45
4,6:05,2,10,CIN 46,24,17,Joe Burrow pass complete deep left to Ja'Marr Chase for 20 yards,1.45,3.31
4,5:31,1,10,SFO 34,24,17,Joe Mixon left tackle for 4 yards (tackle by Charvarius Ward and Fred Warner),3.31,3.31
4,4:43,2,6,SFO 30,24,17,Joe Burrow scrambles right guard for 10 yards (tackle by Dre Greenlaw and Deommodore Lenoir),3.31,4.24
4,4:24,,,,,,Timeout #1 by San Francisco 49ers,,
4,4:24,1,10,SFO 20,24,17,Joe Mixon left end for 9 yards (tackle by Deommodore Lenoir),4.24,5.26
4,3:49,2,1,SFO 11,24,17,Joe Burrow up the middle for 3 yards (tackle by Oren Burks),5.26,5.14
4,3:43,,,,,,Timeout #2 by San Francisco 49ers,,
4,3:43,1,9,SFO 9,24,17,Joe Mixon left tackle for 3 yards (tackle by Clelin Ferrell and Isaiah Oliver),5.14,5.15
4,2:59,2,5,SFO 5,30,17,"Joe Mixon left end for 5 yards, touchdown",5.15,7
4,2:54,,,SFO 15,31,17,Evan McPherson kicks extra point good,0,0
4,2:54,,,CIN 35,31,17,"Evan McPherson kicks off 65 yards, touchback.",0,0.61
4,2:54,1,10,SFO 25,31,17,Brock Purdy pass complete short right to George Kittle for 14 yards (tackle by Cam Taylor-Britt and Germaine Pratt),0.61,1.53
4,2:32,1,10,SFO 39,31,17,Brock Purdy pass complete short middle to George Kittle for 8 yards (tackle by Logan Wilson),1.53,2.07
4,2:16,2,2,SFO 47,31,17,Brock Purdy pass complete short middle to George Kittle for 18 yards (tackle by Logan Wilson),2.07,3.25
4,2:03,1,10,CIN 35,31,17,Brock Purdy sacked by Sam Hubbard for -6 yards,3.25,1.89
4,2:00,2,16,CIN 41,31,17,"Brock Purdy pass is intercepted by Daxton Hill at CIN-32 and returned for no gain. Penalty on D.J. Reader: Roughing the Passer, 15 yards (accepted) (no play)",1.89,3.84
4,1:53,1,10,CIN 26,31,17,"Brock Purdy sacked by Trey Hendrickson for -12 yards. Brock Purdy fumbles (forced by Trey Hendrickson), recovered by B.J. Hill at CIN-38 (tackle by Trey Hendrickson)",3.84,-1.47
4,1:45,1,10,CIN 38,31,17,Joe Mixon left tackle for -2 yards (tackle by Fred Warner),1.47,0.65
4,1:42,,,,,,Timeout #3 by San Francisco 49ers,,
4,1:42,2,12,CIN 36,31,17,Trayveon Williams up the middle for -1 yards (tackle by Tashaun Gipson and Fred Warner),0.65,-0.16
4,0:57,,,,,,Timeout #1 by Cincinnati Bengals,,
4,0:57,3,13,CIN 35,31,17,Joe Burrow kneels for -1 yards,-0.16,-1.11
4,0:16,,,,,,Timeout #2 by Cincinnati Bengals,,
4,0:16,4,14,CIN 34,31,17,Brad Robbins punts 46 yards out of bounds,-1.11,-0.28
4,0:12,1,10,SFO 20,31,17,Brock Purdy pass complete short left to Christian McCaffrey for 28 yards (tackle by Jay Tufele),0.28,2.13
4,0:04,1,10,SFO 48,31,17,Brock Purdy pass complete short right to Ray-Ray McCloud for 41 yards (tackle by Daxton Hill),2.13,4.84
