Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
4,3:44,2,10,SFO 37,9,24,Matthew Stafford sacked by Hassan Ridgeway for -8 yards,2.57,0.83
4,3:11,3,18,SFO 45,9,24,Matthew Stafford pass complete short middle to Tyler Higbee for 8 yards (tackle by Dre Greenlaw),0.83,0.79
4,2:30,,,,,,Timeout #1 by Los Angeles Rams,,
4,2:30,4,10,SFO 37,9,24,Matthew Stafford pass complete short middle to Cooper Kupp for 13 yards (tackle by Talanoa Hufanga),0.79,3.97
4,2:06,1,10,SFO 24,9,24,Matthew Stafford pass incomplete deep left intended for Allen Robinson (defended by Emmanuel Moseley),3.97,3.43
4,2:02,2,10,SFO 24,9,24,Matthew Stafford pass incomplete short right intended for Tyler Higbee,3.43,2.74
4,1:58,3,10,SFO 24,9,24,"Matthew Stafford sacked by Samson Ebukam for -6 yards. Matthew Stafford fumbles (forced by Samson Ebukam), recovered by Kerry Hyder at SF-16 (tackle by Samson Ebukam)",2.74,0.14
4,1:49,1,10,SFO 16,9,24,Jeff Wilson up the middle for -1 yards (tackle by Leonard Floyd and Greg Gaines),-0.14,-0.78
4,1:44,,,,,,Timeout #2 by Los Angeles Rams,,
4,1:44,2,11,SFO 15,9,24,Jeff Wilson left tackle for 2 yards (tackle by A'Shawn Robinson),-0.78,-1.2
4,1:40,,,,,,Timeout #3 by Los Angeles Rams,,
4,1:40,,,,,,Timeout #1 by San Francisco 49ers,,
4,1:40,3,9,SFO 17,9,24,Jeff Wilson up the middle for no gain (tackle by Aaron Donald and Ernest Jones),-1.2,-2.32
4,0:54,,,,,,Timeout #2 by San Francisco 49ers,,
4,0:54,4,9,SFO 17,9,24,Mitch Wishnowsky punts 41 yards out of bounds,-2.32,-1.73
4,0:45,1,10,LAR 42,9,24,Matthew Stafford pass complete short left to Cooper Kupp for 9 yards (tackle by Fred Warner and Deommodore Lenoir),1.73,2.4
4,0:22,2,1,SFO 49,9,24,Matthew Stafford pass complete short left to Darrell Henderson for 4 yards,2.4,2.59
4,0:16,1,10,SFO 45,9,24,Darrell Henderson left guard for 5 yards (tackle by Dre Greenlaw),2.59,2.72
