Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
4,4:49,3,1,SFO 45,17,23,Brock Purdy pass complete short right to George Kittle for 3 yards (tackle by Jerome Baker),1.29,2.13
4,4:10,1,10,SFO 48,17,23,Jordan Mason right guard for 2 yards (tackle by John Jenkins),2.13,1.85
4,3:31,2,8,SFO 50,17,23,Deebo Samuel left end for 9 yards (tackle by Eric Rowe),1.85,2.85
4,3:15,,,,,,Timeout #3 by San Francisco 49ers,,
4,3:15,1,10,MIA 41,17,23,Christian McCaffrey right tackle for 30 yards (tackle by Kader Kohou and Bradley Chubb),2.85,4.84
4,3:02,,,,,,Timeout #1 by Miami Dolphins,,
4,3:02,1,10,MIA 11,17,23,Christian McCaffrey left end for -3 yards (tackle by Jerome Baker),4.84,3.69
4,2:58,,,,,,Timeout #2 by Miami Dolphins,,
4,2:58,2,13,MIA 14,17,23,Brock Purdy sacked by Bradley Chubb for -8 yards,3.69,2.15
4,2:52,,,,,,Timeout #3 by Miami Dolphins,,
4,2:52,3,21,MIA 22,17,23,"Deebo Samuel for no gain. Penalty on George Kittle: Offensive Holding, 10 yards (accepted) (no play)",2.15,0.83
4,2:39,3,31,MIA 32,17,23,Christian McCaffrey up the middle for 2 yards (tackle by John Jenkins),0.83,1.41
4,2:08,4,29,MIA 30,17,26,Robbie Gould 48 yard field goal good,1.41,3
4,2:03,,,SFO 35,17,26,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
4,2:03,1,10,MIA 25,17,32,"Tua Tagovailoa sacked by Nick Bosa for -2 yards. Tua Tagovailoa fumbles (forced by Nick Bosa), recovered by Dre Greenlaw at MIA-23 and returned for 23 yards, touchdown",0.61,-7
4,1:53,,,MIA 15,17,33,Robbie Gould kicks extra point good,0,0
4,1:53,,,SFO 35,17,33,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
4,1:53,1,10,MIA 25,17,33,Skylar Thompson pass deep middle intended for Tyreek Hill is intercepted by Fred Warner at MIA-47 and returned for 20 yards (tackle by Durham Smythe),0.61,-3.78
4,1:42,1,10,MIA 27,17,33,Brock Purdy kneels for -1 yards,3.78,3.1
4,1:08,2,11,MIA 28,17,33,Brock Purdy kneels for -1 yards,3.1,2.28
4,0:32,3,12,MIA 29,17,33,Brock Purdy kneels for -1 yards,2.28,1.41
