Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA
3,0:26,2,7,ARI 36,13,38,Trace McSorley pass incomplete deep left intended for Marquise Brown,1,0.3
3,0:22,3,7,ARI 36,13,38,Trace McSorley scrambles left guard for 9 yards (tackle by Azeez Al-Shaair),0.3,1.93
4,15:00,1,10,ARI 45,13,38,Pharoh Cooper left tackle for 1 yard (tackle by Jordan Willis and Azeez Al-Shaair),1.93,1.52
4,14:25,2,9,ARI 46,13,38,Trace McSorley pass complete deep middle to A.J. Green for 18 yards (tackle by Jimmie Ward),1.52,3.18
4,13:49,1,10,SFO 36,13,38,Trace McSorley pass incomplete short left intended for Keaontay Ingram,3.18,2.64
4,13:45,2,10,SFO 36,13,38,Keaontay Ingram up the middle for no gain (tackle by Jordan Willis),2.64,1.95
4,13:00,,,,,,Timeout #1 by Arizona Cardinals,,
4,13:00,3,10,SFO 36,13,38,Trace McSorley left tackle for 5 yards (tackle by Talanoa Hufanga),1.95,1.35
4,12:18,4,5,SFO 31,13,38,Trace McSorley pass complete short left to Keaontay Ingram for -3 yards (tackle by Deommodore Lenoir),1.35,-1.2
4,12:11,1,10,SFO 34,13,38,Jordan Mason left tackle for 2 yards (tackle by Dennis Gardeck and Tanner Vallejo),1.2,0.93
4,11:27,2,8,SFO 36,13,38,Jordan Mason left end for -2 yards (tackle by Jalen Thompson),0.93,-0.03
4,10:43,3,10,SFO 34,13,38,Jordan Mason up the middle for 8 yards (tackle by Kamu Grugier-Hill and Josh Thomas),-0.03,-0.59
4,9:57,4,2,SFO 42,13,38,"Mitch Wishnowsky punts 46 yards, fair catch by Pharoh Cooper at ARI-12",-0.59,0.35
4,9:50,1,10,ARI 12,13,38,Trace McSorley pass complete short left to A.J. Green for -4 yards (tackle by Samuel Womack and Azeez Al-Shaair),-0.35,-1.07
4,9:09,2,14,ARI 8,13,38,Trace McSorley pass complete short right to Trey McBride for 7 yards (tackle by Azeez Al-Shaair),-1.07,-1.18
4,8:27,3,8,ARI 15,13,38,"Trace McSorley pass complete short left to Ty'Son Williams for 5 yards (tackle by Deommodore Lenoir and Azeez Al-Shaair). Penalty on Kelvin Beachum: Offensive Holding, 10 yards (declined)",-1.18,-2.03
4,7:58,4,2,ARI 20,13,38,Andy Lee punts 51 yards out of bounds,-2.03,-0.87
4,7:49,1,10,SFO 29,13,38,Tyrion Davis-Price right tackle for 12 yards (tackle by Jalen Thompson and Christian Matthew),0.87,1.66
4,7:10,1,10,SFO 41,13,38,Tyrion Davis-Price up the middle for 4 yards (tackle by Manny Jones and Dennis Gardeck),1.66,1.66
4,6:26,2,6,SFO 45,13,38,Tyrion Davis-Price up the middle for 2 yards (tackle by Michael Dogbe and Dennis Gardeck),1.66,1.22
4,5:39,3,4,SFO 47,13,38,Tyrion Davis-Price left tackle for 3 yards (tackle by Michael Dogbe and Ben Niemann),1.22,-0.06
4,4:54,4,1,SFO 50,13,38,Mitch Wishnowsky punts 47 yards downed by Danny Gray,-0.06,0.38
4,4:44,1,10,ARI 3,13,38,Keaontay Ingram up the middle for 1 yard (tackle by Deommodore Lenoir and Azeez Al-Shaair),-0.38,-0.71
4,4:04,2,9,ARI 4,13,38,Trace McSorley pass complete short right to Andre Baccellia for 6 yards (tackle by Jackrabbit Jenkins and Oren Burks),-0.71,-0.6
4,3:20,3,3,ARI 10,13,38,Keaontay Ingram up the middle for 4 yards (tackle by Kerry Hyder and Azeez Al-Shaair),-0.6,-0.28
4,2:47,1,10,ARI 14,13,38,Trace McSorley pass deep middle intended for A.J. Green is intercepted by George Odum at ARI-38 and returned for 25 yards (tackle by Keaontay Ingram),-0.28,-4.71
4,2:29,,,,,,Timeout #1 by San Francisco 49ers,,
4,2:29,1,10,ARI 13,13,38,Tyrion Davis-Price left tackle for no gain (tackle by Michael Dogbe and Eric Banks),4.71,4.05
4,2:00,2,10,ARI 13,13,38,Tyrion Davis-Price right tackle for 2 yards (tackle by Isaiah Simmons and Ben Niemann),4.05,3.45
4,1:15,3,8,ARI 11,13,38,Tyrion Davis-Price up the middle for 1 yard (tackle by Michael Dogbe),3.45,2.76
4,0:34,4,7,ARI 10,13,38,Tyrion Davis-Price left tackle for 3 yards (tackle by Tanner Vallejo and Isaiah Simmons),2.76,0.38
4,0:27,1,10,ARI 7,13,38,Trace McSorley kneels for -1 yards,-0.38,-0.85
