Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
4,5:39,2,2,SFO 2,35,19,"Jalen Hurts pass complete short right to DeVonta Smith for 2 yards, touchdown",5.72,7
4,5:33,,,SFO 2,35,19,Two Point Attempt: Jalen Hurts pass incomplete intended for DeVonta Smith,1,-1
4,5:33,,,PHI 35,35,19,"Jake Elliott kicks onside 13 yards, returned by Christian McCaffrey for no gain",0,2.39
4,5:32,1,10,PHI 48,35,19,"Penalty on Trent Williams: False Start, 4 yards (accepted) (no play)",2.39,2.13
4,5:32,1,14,SFO 48,35,19,Christian McCaffrey right end for 6 yards (tackle by Reed Blankenship and Josh Sweat),2.13,2.12
4,5:27,,,,,,Timeout #1 by Philadelphia Eagles,,
4,5:27,2,8,PHI 46,41,19,"Brock Purdy pass complete short left to Deebo Samuel for 46 yards, touchdown",2.12,7
4,5:19,,,PHI 15,42,19,Jake Moody kicks extra point good,0,0
4,5:19,,,SFO 35,42,19,"Jake Moody kicks off 65 yards, returned by Boston Scott for 15 yards (tackle by Isaiah Oliver)",0,-0.22
4,5:13,1,10,PHI 15,42,19,Jalen Hurts pass incomplete short right intended for Albert Okwuegbunam (defended by Dee Winters),-0.22,-0.71
4,5:07,2,10,PHI 15,42,19,Jalen Hurts pass complete short middle to Kenneth Gainwell for 15 yards (tackle by Dee Winters),-0.71,0.94
4,4:37,1,10,PHI 30,42,19,Jalen Hurts pass complete short right to Quez Watkins for 15 yards (tackle by Demetrius Flannigan-Fowles),0.94,1.93
4,4:06,1,10,PHI 45,42,19,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by Charvarius Ward),1.93,1.38
4,4:00,2,10,PHI 45,42,19,Jalen Hurts pass incomplete short left,1.38,0.7
4,3:51,3,10,PHI 45,42,19,Jalen Hurts pass complete short right to Boston Scott for 27 yards (tackle by Ji'Ayir Brown),0.7,3.71
4,3:35,1,10,SFO 28,42,19,Jalen Hurts pass complete short middle to Kenneth Gainwell for 6 yards (tackle by Dee Winters),3.71,3.98
4,3:01,2,4,SFO 22,42,19,"Penalty on Jason Kelce: False Start, 5 yards (accepted) (no play)",3.98,3.3
4,3:01,2,9,SFO 27,42,19,Jalen Hurts pass incomplete short right intended for D'Andre Swift (defended by Deommodore Lenoir),3.3,2.61
4,2:54,3,9,SFO 27,42,19,Jalen Hurts sacked by Kalia Davis for -3 yards,2.61,1.41
4,2:14,4,12,SFO 30,42,19,Jalen Hurts pass incomplete deep left intended for DeVonta Smith (defended by Ambry Thomas),1.41,-0.94
4,2:07,1,10,SFO 30,42,19,Elijah Mitchell left guard for 1 yard (tackle by Nolan Smith and Jordan Davis),0.94,0.53
4,2:00,2,9,SFO 31,42,19,Jordan Mason right guard for 4 yards (tackle by Nicholas Morrow),0.53,0.37
4,1:18,3,5,SFO 35,42,19,Jordan Mason left end for 6 yards (tackle by Kevin Byard and Milton Williams),0.37,1.66
4,0:37,1,10,SFO 41,42,19,Sam Darnold kneels for -1 yards,1.66,0.99
