Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
4,12:50,1,10,SFO 47,10,42,Jordan Mason up the middle for 6 yards (tackle by Damone Clark and Donovan Wilson),2.06,2.33
4,12:07,2,4,DAL 47,10,42,Jordan Mason up the middle for 8 yards (tackle by Stephon Gilmore),2.33,2.98
4,11:19,1,10,DAL 39,10,42,Jordan Mason left end for -4 yards (tackle by Jayron Kearse),2.98,1.9
4,10:35,2,14,DAL 43,10,42,Tyrion Davis-Price up the middle for 2 yards (tackle by Donovan Wilson),1.9,1.49
4,9:49,3,12,DAL 41,10,42,"Penalty on Colton McKivitz: False Start, 5 yards (accepted) (no play)",1.49,0.83
4,9:49,3,17,DAL 46,10,42,Sam Darnold pass complete short left to Ray-Ray McCloud for 1 yard (tackle by Damone Clark),0.83,0.27
4,8:54,4,16,DAL 45,10,42,Mitch Wishnowsky punts 44 yards downed by Ronnie Bell,0.27,0.38
4,8:47,1,10,DAL 1,10,42,Rico Dowdle up the middle for no gain (tackle by Ji'Ayir Brown and Kevin Givens),-0.38,-0.78
4,8:10,2,10,DAL 1,10,42,Cooper Rush pass complete short right to Michael Gallup for 7 yards (tackle by Ambry Thomas),-0.78,-0.6
4,7:29,3,3,DAL 8,10,42,Rico Dowdle right guard for 8 yards (tackle by Austin Bryant and Oren Burks),-0.6,-0.14
4,6:56,1,10,DAL 16,10,42,Cooper Rush pass complete short right to Deuce Vaughn for 1 yard (tackle by Oren Burks),-0.14,-0.51
4,6:19,2,9,DAL 17,10,42,Rico Dowdle right end for 3 yards (tackle by Ambry Thomas),-0.51,-0.82
4,5:43,3,6,DAL 20,10,42,Cooper Rush sacked by Kevin Givens for -8 yards,-0.82,-2.49
4,5:05,4,14,DAL 12,10,42,"Bryan Anger punts 54 yards, returned by Ray-Ray McCloud for 12 yards (tackle by Damone Clark)",-2.49,-1.99
4,4:52,1,10,SFO 46,10,42,Tyrion Davis-Price right end for 15 yards (tackle by DaRon Bland and Malik Hooker),1.99,2.98
4,4:13,1,10,DAL 39,10,42,Tyrion Davis-Price left end for 4 yards (tackle by Mazi Smith),2.98,2.98
4,3:29,2,6,DAL 35,10,42,Tyrion Davis-Price up the middle for 4 yards (tackle by Neville Gallimore and Malik Jefferson),2.98,2.81
4,2:41,3,2,DAL 31,10,42,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",2.81,2.15
4,2:41,3,7,DAL 36,10,42,Tyrion Davis-Price up the middle for no gain (tackle by Markquese Bell),2.15,0.88
4,2:00,4,7,DAL 36,10,42,Tyrion Davis-Price right end for -4 yards (tackle by Malik Jefferson),0.88,-1.6
4,1:54,1,10,DAL 40,10,42,"Deuce Vaughn up the middle for 1 yard (tackle by Ambry Thomas). Penalty on Tyler Smith: Unnecessary Roughness / Offense, 15 yards (accepted)",1.6,-0.84
4,1:42,2,24,DAL 26,10,42,Deuce Vaughn up the middle for 4 yards (tackle by Dee Winters),-0.84,-0.96
4,0:57,3,20,DAL 30,10,42,Deuce Vaughn right tackle for 2 yards (tackle by Oren Burks),-0.96,-1.24
4,0:11,4,18,DAL 32,10,42,Cooper Rush kneels for -2 yards,-1.24,-3.58
4,0:10,1,10,DAL 30,10,42,Sam Darnold kneels for -1 yards,3.58,2.9
