Quarter,Time,Down,ToGo,Location,TAM,SFO,Detail,EPB,EPA
4,2:43,1,10,SFO 44,14,27,Christian McCaffrey left end for 6 yards (tackle by Kaevon Merriweather),1.86,2.13
4,2:34,2,4,SFO 50,14,27,Christian McCaffrey left guard for 2 yards (tackle by Shaquil Barrett),2.13,1.69
4,2:30,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,2:30,3,2,TAM 48,14,27,Christian McCaffrey left guard for 1 yard (tackle by Shaquil Barrett and Kaevon Merriweather),1.69,0.13
4,2:19,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,2:19,4,1,TAM 47,14,27,Christian McCaffrey left guard for no gain (tackle by Josh Hayes and Antoine Winfield),0.13,-2.06
4,2:13,1,10,TAM 47,14,27,Baker Mayfield pass complete short right to Cade Otton for 8 yards (tackle by Dre Greenlaw),2.06,2.6
4,2:08,2,2,SFO 45,14,27,Baker Mayfield pass incomplete short right,2.6,1.88
4,2:02,3,2,SFO 45,14,27,Rachaad White up the middle for 5 yards (tackle by Arik Armstead and Ji'Ayir Brown),1.88,2.92
4,1:57,1,10,SFO 40,14,27,"Baker Mayfield sacked by and Nick Bosa for -7 yards and Dre Greenlaw for -7 yards. Penalty on Luke Goedeke: Offensive Holding, 10 yards (declined)",2.92,1.43
4,1:50,2,17,SFO 47,14,27,Baker Mayfield pass complete short right to Cade Otton for 8 yards (tackle by Deommodore Lenoir and Fred Warner),1.43,1.82
4,1:44,3,9,SFO 39,14,27,Baker Mayfield sacked by Chase Young for -9 yards,1.82,0.07
4,1:11,4,18,SFO 48,14,27,Baker Mayfield pass incomplete deep right (defended by Charvarius Ward),0.07,-2.13
4,1:02,1,10,SFO 48,14,27,Brock Purdy kneels for -1 yards,2.13,1.45
4,0:32,2,11,SFO 47,14,27,Brock Purdy kneels for -1 yards,1.45,0.63
